Input_Text,Matched_Text,Human_Score
Arafat,Jackson,2.5
Harvard,Yale,8.13
Japanese,American,6.5
Mars,water,2.94
Mexico,Brazil,7.44
Wednesday,news,2.22
aluminum,metal,7.83
announcement,news,7.56
architecture,century,3.78
asylum,madhouse,8.87
atmosphere,landscape,3.69
attempt,peace,4.25
benchmark,index,4.25
bird,crane,7.38
bishop,rabbi,6.69
board,recommendation,4.47
boy,lad,8.83
bread,butter,6.19
calculation,computation,8.44
car,automobile,8.94
cell,phone,7.81
cemetery,woodland,2.08
century,year,7.59
championship,tournament,8.36
chance,credibility,3.88
chord,smile,0.54
coast,shore,9.1
computer,news,4.47
consumer,energy,4.75
crane,implement,2.69
cucumber,potato,5.92
cup,tableware,6.85
delay,news,3.31
deployment,departure,4.25
development,issue,3.97
direction,combination,2.25
dividend,payment,7.63
doctor,nurse,7.0
dollar,buck,9.22
drink,eat,6.87
energy,secretary,1.81
experience,music,3.47
five,month,3.38
focus,life,4.06
food,fruit,7.52
football,soccer,9.03
forest,graveyard,1.85
fuck,sex,9.44
furnace,stove,8.79
gem,jewel,8.96
glass,metal,5.56
governor,interview,3.25
holy,sex,1.62
hospital,infrastructure,4.63
image,surface,4.56
investigation,effort,4.59
jaguar,cat,7.42
journal,association,4.97
journey,voyage,9.29
king,queen,8.58
lad,brother,4.46
life,death,7.88
line,insurance,2.69
liquid,water,7.89
listing,proximity,2.56
lobster,food,7.81
magician,wizard,9.02
man,woman,8.3
marathon,sprint,7.47
media,radio,7.42
midday,noon,9.29
mile,kilometer,8.66
ministry,culture,4.69
minority,peace,3.69
money,cash,9.15
monk,oracle,5.0
month,hotel,1.81
morality,marriage,3.69
murder,manslaughter,8.53
museum,theater,7.19
music,project,3.63
noon,string,0.54
observation,architecture,4.38
opera,performance,6.88
peace,plan,4.75
phone,equipment,7.13
physics,chemistry,7.35
plane,car,5.77
planet,star,8.45
population,development,3.75
possibility,girl,1.94
practice,institution,3.19
precedent,antecedent,6.04
prejudice,recognition,3.0
president,medal,3.0
problem,airport,2.38
production,hike,1.75
professor,doctor,6.62
profit,loss,7.63
psychology,psychiatry,8.08
reason,hypertension,2.31
report,gain,3.63
rock,jazz,7.59
rooster,voyage,0.62
school,center,3.44
seafood,lobster,8.7
seven,series,3.56
shore,woodland,3.08
shower,thunderstorm,6.31
sign,recess,2.38
situation,conclusion,4.81
skin,eye,6.22
smart,stupid,5.81
space,chemistry,4.88
start,match,4.47
stock,live,3.73
street,avenue,8.88
student,professor,6.81
sugar,approach,0.88
television,radio,6.77
theater,history,3.91
tiger,tiger,10.0
train,car,6.31
travel,activity,5.0
type,kind,8.97
viewer,serial,2.97
vodka,gin,8.46
volunteer,motto,2.56
wood,forest,7.73
word,similarity,4.75
