Input_Text,GPT_Match,Required_Confidence_Threshold,Embedding_Matches
Arafat,hill,0.37,"[[""rabbi"", 4.0], [""artifact"", 2.81], [""peace"", 2.47], [""fruit"", 2.43], [""avenue"", 2.35], [""flight"", 2.34], [""secretary"", 2.29], [""tournament"", 2.2], [""activity"", 2.2], [""airport"", 2.15], [""departure"", 2.12], [""association"", 2.1], [""jewel"", 2.07], [""eat"", 2.04], [""Jackson"", 2.03], [""object"", 2.01], [""graveyard"", 1.99], [""queen"", 1.99], [""payment"", 1.99], [""potato"", 1.99], [""collection"", 1.95], [""match"", 1.95], [""cabbage"", 1.94], [""noon"", 1.92], [""effort"", 1.92], [""cash"", 1.92], [""professor"", 1.91], [""rook"", 1.91], [""month"", 1.9], [""place"", 1.87], [""recess"", 1.87], [""brother"", 1.86], [""performance"", 1.86], [""forest"", 1.82], [""string"", 1.82], [""nation"", 1.81], [""moon"", 1.8], [""hike"", 1.79], [""block"", 1.78], [""yen"", 1.77], [""medal"", 1.76], [""phone"", 1.75], [""magician"", 1.75], [""kind"", 1.74], [""issue"", 1.74], [""mother"", 1.72], [""project"", 1.72], [""death"", 1.72], [""article"", 1.71], [""marriage"", 1.71], [""recognition"", 1.7], [""operation"", 1.7], [""plan"", 1.7], [""fauna"", 1.68], [""architecture"", 1.67], [""tennis"", 1.67], [""children"", 1.66], [""animal"", 1.66], [""oracle"", 1.65], [""motto"", 1.65], [""food"", 1.65], [""landscape"", 1.65], [""governor"", 1.64], [""jaguar"", 1.63], [""ear"", 1.62], [""confidence"", 1.61], [""surface"", 1.61], [""cucumber"", 1.61], [""example"", 1.6], [""wizard"", 1.6], [""antecedent"", 1.59], [""entity"", 1.59], [""personnel"", 1.58], [""Yale"", 1.58], [""manslaughter"", 1.57], [""butter"", 1.55], [""tableware"", 1.55], [""carnivore"", 1.55], [""warning"", 1.53], [""sun"", 1.52], [""implement"", 1.51], [""egg"", 1.51], [""center"", 1.51], [""water"", 1.51], [""eye"", 1.5], [""gain"", 1.5], [""lobster"", 1.5], [""approach"", 1.49], [""smile"", 1.49], [""group"", 1.48], [""hotel"", 1.47], [""lad"", 1.47], [""proximity"", 1.47], [""term"", 1.47], [""news"", 1.47], [""isolation"", 1.47], [""hill"", 1.46]]"
Harvard,Yale,1.0,"[[""Yale"", 6.51]]"
Japanese,yen,1.0,"[[""yen"", 4.71]]"
Mars,star,0.74,"[[""moon"", 3.97], [""jaguar"", 3.42], [""Brazil"", 3.28], [""surface"", 3.02], [""fruit"", 3.01], [""car"", 2.95], [""star"", 2.93]]"
Mexico,nation,0.74,"[[""Brazil"", 4.61], [""nation"", 3.41]]"
Wednesday,entity,0.56,"[[""month"", 4.9], [""noon"", 4.64], [""year"", 4.28], [""tournament"", 4.24], [""woman"", 4.21], [""series"", 4.17], [""term"", 4.1], [""girl"", 4.02], [""yen"", 3.98], [""match"", 3.88], [""moon"", 3.61], [""doctor"", 3.6], [""oracle"", 3.57], [""group"", 3.54], [""hotel"", 3.53], [""place"", 3.51], [""slave"", 3.43], [""departure"", 3.43], [""student"", 3.42], [""water"", 3.42], [""mother"", 3.39], [""wizard"", 3.39], [""kind"", 3.38], [""issue"", 3.32], [""news"", 3.31], [""hill"", 3.31], [""center"", 3.3], [""payment"", 3.28], [""article"", 3.26], [""tiger"", 3.2], [""lad"", 3.17], [""development"", 3.15], [""queen"", 3.15], [""fruit"", 3.11], [""thunderstorm"", 3.1], [""death"", 3.1], [""activity"", 3.09], [""phone"", 3.09], [""life"", 3.06], [""radio"", 3.02], [""flight"", 3.01], [""chemistry"", 3.0], [""CD"", 2.97], [""eye"", 2.95], [""eat"", 2.94], [""string"", 2.94], [""dollar"", 2.88], [""wine"", 2.84], [""serial"", 2.81], [""currency"", 2.8], [""ear"", 2.8], [""example"", 2.8], [""forest"", 2.79], [""warning"", 2.78], [""live"", 2.78], [""history"", 2.77], [""object"", 2.76], [""lobster"", 2.75], [""secretary"", 2.75], [""animal"", 2.75], [""confidence"", 2.73], [""entity"", 2.73]]"
aluminum,metal,1.0,"[[""metal"", 5.0]]"
announcement,news,0.82,"[[""warning"", 5.56], [""departure"", 4.66], [""news"", 4.55]]"
architecture,infrastructure,0.41,"[[""architecture"", 10.0], [""landscape"", 5.51], [""artifact"", 5.03], [""plan"", 4.89], [""development"", 4.64], [""institution"", 4.52], [""forest"", 4.34], [""history"", 4.3], [""project"", 4.18], [""music"", 4.13], [""activity"", 4.09], [""chemistry"", 4.08], [""culture"", 4.07], [""object"", 4.07], [""infrastructure"", 4.07]]"
asylum,madhouse,0.87,"[[""isolation"", 4.88], [""madhouse"", 4.26]]"
