Input_Text,Algorithm_Match,Similarity_Score
Arafat,artifact,2.805183269554697
Harvard,Yale,6.5121311449843144
Japanese,currency,3.5082051421631077
Mars,month,2.805684000009729
Mexico,nation,3.405461848518097
Wednesday,month,4.9004692683377655
aluminum,metal,5.003240435910829
announcement,news,4.549612131219901
architecture,No options were provided to select a match from.,
asylum,institution,3.470269200180496
atmosphere,It seems that the list of options was not provided. Could you please supply the options to choose from?,
attempt,effort,5.598145569695515
benchmark,performance,4.262272473277994
bird,animal,6.164617471677127
bishop,rabbi,4.269372572744424
board,block,4.461326344200097
boy,lad,4.831631725165462
bread,food,5.521655647783648
calculation,computation,6.615020544398526
car,It appears that no options were provided. Could you please share the available options for selection?,
cell,phone,4.668575628789121
cemetery,graveyard,7.504309972755644
century,"It looks like you mentioned ""century"" and referred to some options, but I didn't receive the list of options to choose from. Could you please provide the available options so I can help select the most appropriate match?",
championship,tournament,4.811420487949961
chance,1. confidence,
chord,music,4.318606487296464
coast,shore,4.922564397893425
computer,computation,4.355392461891302
consumer,entity,4.465656528295191
crane,Unable to select a match as no options were provided.,
cucumber,gherkin,
cup,fruit,4.8741034156879355
delay,flight,3.629604003911191
deployment,production,4.984603301431702
development,Please provide the list of options to select from.,
direction,approach,4.032413139157164
dividend,payment,3.996704010229377
doctor,No matching options provided. Please supply the options to select from.,
dollar,"It looks like the list of options was not provided. Could you please share the options for me to select the most appropriate match for ""dollar""?",
drink,water,4.735069271608257
energy,No options were provided to select a match from.,
experience,history,4.8863919032310905
five,series,4.424901136788982
focus,center,5.585771469853622
food,"I'm sorry, but I don't see any options provided. Could you please supply the list of options to choose from?",
football,soccer,5.940895587914135
forest,No options were provided to select from.,
fuck,sex,4.873252570820334
furnace,stove,6.503439850962717
gem,jewel,5.574438951168657
glass,tableware,4.046572387446251
governor,"I'm sorry, but I didn't receive any options to choose from. Could you please provide the list of options?",
holy,rabbi,3.4205247265609
hospital,institution,4.919999395461723
image,object,4.23961487322728
investigation,operation,4.29068710597794
jaguar,Big cat,
journal,serial,4.2582141125377575
journey,voyage,6.5315852795689455
king,queen,5.9060153023969075
lad,"I'm sorry, but I need the list of options to help you select the most appropriate match for ""lad."" Could you please provide the available options?",
life,live,6.9390174756927685
line,phone,3.9304548542385986
liquid,substance,4.191863173060656
listing,index,4.269288298477196
lobster,It seems you haven't provided the list of options. Please provide the options so I can help you select the most appropriate match.,
magician,"It seems that no options were provided. Could you please share the available options so I can help select the most appropriate match for ""magician""?",
man,woman,7.075252418020826
marathon,sprint,3.971624005886303
media,industry,3.5599065007706843
midday,noon,5.888237639222885
mile,kilometer,5.097938081737023
ministry,institution,3.9804668129948464
minority,group,3.539029057787441
money,currency,5.408130988855342
monk,rabbi,4.428632996795728
month,"Please provide the list of options to choose from, and I'll help you select the most appropriate match for ""month.""",
morality,culture,4.24378239072453
murder,manslaughter,7.756935476037658
museum,institution,3.864924591859764
music,No options were provided to select from.,
noon,midday,
observation,collection,4.8973804795050935
opera,performance,3.694835653162305
peace,I need the list of options to select the best match. Please provide the available options.,
phone,"I'm sorry, but I need the list of options to select the most appropriate match for ""phone."" Please provide the available options.",
physics,science,5.852548733751419
plane,flight,5.6934622743691135
planet,star,4.6709393045139915
population,group,5.181419881501855
possibility,confidence,4.122091297943646
practice,activity,5.706927051870525
precedent,antecedent,8.12289076469023
prejudice,racism,5.325281853204576
president,governor,5.841385007893974
problem,issue,6.778382275057644
production,It appears that no options were provided. Could you please share the list of options to select from?,
professor,"I'm sorry, but I need the list of options to help you select the most appropriate match for ""professor."" Please provide the available options.",
profit,gain,6.158066756722828
psychology,cognition,4.607183401450124
reason,antecedent,3.705908324438172
report,article,3.8081425739021246
rock,music,4.832429433842168
rooster,"It looks like you haven't provided the list of options to choose from. Could you please share the available options so I can help you select the most appropriate match for ""rooster""?",
school,institution,4.849382655816299
seafood,food,5.032162696612441
seven,serial,3.918050449369307
shore,"It looks like the list of options is missing. Could you please provide the available options for ""shore"" so I can help select the most appropriate match?",
shower,thunderstorm,4.673118465100624
sign,warning,4.044372594970667
situation,atmosphere,3.7223241427113987
skin,surface,5.460696168328529
smart,cognition,3.007032664805507
space,place,5.508475616595597
start,project,4.842745270080153
stock,trading,4.236807532308507
street,avenue,5.052364517176491
student,"It appears that no options were provided. Please supply the list of options so I can help select the most appropriate match for ""student.""",
sugar,substance,4.371285569569475
television,radio,4.722080929009912
theater,stage,
tiger,"Sure, could you please provide the list of options to select the most appropriate match for ""tiger""?",
train,car,4.893631857046713
travel,voyage,5.769999383664096
type,kind,5.194595228685525
viewer,eye,4.692291787491646
vodka,potato,3.3922363473991157
volunteer,effort,3.869629229450726
wood,forest,5.238981657443106
word,term,4.6979667554270055
