Input_Text,Algorithm_Match_GPT,Reasoning,Embedding_Top_Matches,GPT_In_Threshold_Embedding
Arafat,hill,Mount Arafat is a significant elevated location.,"[[""rabbi"", 4.0], [""artifact"", 2.81]]",False
Harvard,Yale,Similar prestigious American university as Harvard.,"[[""Yale"", 6.51]]",True
Japanese,yen,Official Japanese currency used in economic transactions.,"[[""yen"", 4.71], [""American"", 4.47], [""woman"", 3.98], [""kind"", 3.82], [""culture"", 3.61], [""Jackson"", 3.57], [""currency"", 3.51], [""girl"", 3.49], [""term"", 3.44], [""student"", 3.43], [""phone"", 3.41], [""series"", 3.34], [""ear"", 3.33], [""doctor"", 3.33], [""oracle"", 3.3], [""gin"", 3.3], [""music"", 3.28], [""slave"", 3.24], [""chemistry"", 3.21], [""group"", 3.18], [""CD"", 3.18], [""entity"", 3.17]]",True
Mars,star,Both are celestial objects in the universe.,"[[""moon"", 3.97], [""jaguar"", 3.42], [""Brazil"", 3.28], [""surface"", 3.02], [""fruit"", 3.01], [""car"", 2.95], [""star"", 2.93], [""brandy"", 2.89], [""water"", 2.88], [""animal"", 2.83], [""month"", 2.81], [""atmosphere"", 2.76], [""woman"", 2.76], [""landscape"", 2.7], [""lobster"", 2.67]]",True
Mexico,nation,Mexico is a sovereign country.,"[[""Brazil"", 4.61], [""nation"", 3.41]]",True
Wednesday,entity,Wednesday represents a day of the week.,"[[""month"", 4.9], [""noon"", 4.64], [""year"", 4.28], [""tournament"", 4.24], [""woman"", 4.21], [""series"", 4.17], [""term"", 4.1], [""girl"", 4.02], [""yen"", 3.98], [""match"", 3.88], [""moon"", 3.61], [""doctor"", 3.6], [""oracle"", 3.57], [""group"", 3.54], [""hotel"", 3.53], [""place"", 3.51], [""slave"", 3.43], [""departure"", 3.43], [""student"", 3.42], [""water"", 3.42], [""mother"", 3.39], [""wizard"", 3.39], [""kind"", 3.38], [""issue"", 3.32], [""news"", 3.31], [""hill"", 3.31], [""center"", 3.3], [""payment"", 3.28]]",False
aluminum,metal,Aluminum is a type of metal.,"[[""metal"", 5.0], [""medal"", 3.68], [""automobile"", 3.65], [""chemistry"", 3.54], [""water"", 3.4]]",True
announcement,news,"Shares public information, similar to an announcement.","[[""warning"", 5.56], [""departure"", 4.66], [""news"", 4.55], [""association"", 4.46], [""operation"", 4.34], [""project"", 4.21], [""information"", 4.2], [""block"", 4.18], [""institution"", 4.12], [""issue"", 4.02], [""tournament"", 4.02], [""artifact"", 4.01], [""article"", 3.98], [""development"", 3.97], [""activity"", 3.88], [""payment"", 3.81]]",True
architecture,infrastructure,Related to building structures and physical systems.,"[[""architecture"", 10.0], [""landscape"", 5.51], [""artifact"", 5.03], [""plan"", 4.89], [""development"", 4.64], [""institution"", 4.52], [""forest"", 4.34], [""history"", 4.3], [""project"", 4.18], [""music"", 4.13], [""activity"", 4.09], [""chemistry"", 4.08], [""culture"", 4.07], [""object"", 4.07], [""infrastructure"", 4.07], [""entity"", 4.02], [""association"", 3.93], [""hotel"", 3.81], [""science"", 3.71]]",True
asylum,madhouse,"A place for mental patients, similar to asylum.","[[""isolation"", 4.88], [""madhouse"", 4.26], [""psychiatry"", 3.55], [""institution"", 3.47], [""airport"", 3.33], [""recess"", 3.31]]",True
atmosphere,culture,Represents the prevailing atmosphere or environment.,"[[""atmosphere"", 10.0], [""culture"", 3.85], [""energy"", 3.8], [""substance"", 3.72], [""infrastructure"", 3.57], [""noon"", 3.52], [""life"", 3.4], [""thunderstorm"", 3.37], [""activity"", 3.34], [""theater"", 3.33], [""chemistry"", 3.31], [""entity"", 3.28], [""object"", 3.26], [""landscape"", 3.24], [""personnel"", 3.2], [""forest"", 3.19], [""article"", 3.03], [""water"", 3.02], [""jazz"", 2.98], [""music"", 2.96], [""avenue"", 2.95], [""surface"", 2.95], [""issue"", 2.94], [""stove"", 2.94], [""artifact"", 2.94], [""science"", 2.91], [""fauna"", 2.9], [""moon"", 2.85], [""association"", 2.81], [""motto"", 2.8], [""place"", 2.8], [""death"", 2.79], [""architecture"", 2.78], [""effort"", 2.76], [""industry"", 2.76], [""flight"", 2.73], [""institution"", 2.71], [""madhouse"", 2.69], [""organism"", 2.67], [""peace"", 2.67], [""cognition"", 2.66], [""fruit"", 2.66], [""hotel"", 2.66], [""graveyard"", 2.65], [""production"", 2.59]]",True
