Input_Text,Algorithm_Match,Similarity_Score
Arafat,rabbi,4.001459220989995
Harvard,Yale,6.5121311449843144
Japanese,yen,4.710277437838207
Mars,moon,3.9658099327672347
Mexico,Brazil,4.613502370183566
Wednesday,month,4.9004692683377655
aluminum,metal,5.003240435910829
announcement,warning,5.562305411762597
architecture,landscape,5.507807568641596
asylum,isolation,4.875179299303667
atmosphere,culture,3.8534635551512935
attempt,effort,5.598145569695515
benchmark,index,4.861079075286366
bird,animal,6.164617471677127
bishop,doctor,4.556126916814398
board,car,5.633510258578873
boy,girl,6.948076817433012
bread,food,5.521655647783648
calculation,computation,6.615020544398526
car,automobile,5.562367369910138
cell,entity,5.053249787553162
cemetery,graveyard,7.504309972755644
century,year,4.281023071227105
championship,tournament,4.811420487949961
chance,confidence,4.47020853253502
chord,music,4.318606487296464
coast,shore,4.922564397893425
computer,phone,4.9218023481726725
consumer,woman,5.4219111469313
crane,car,4.033967049254149
cucumber,cabbage,5.925077499847218
cup,cock,6.587776055805273
delay,block,5.3813594793365525
deployment,operation,6.0240455844732175
development,production,6.098410664836407
direction,center,4.683207320262479
dividend,dollar,4.1686282299447655
doctor,nurse,4.924696579382616
dollar,currency,5.240526149936713
drink,wine,5.61385691979919
energy,water,4.977523234291815
experience,performance,5.821227187742179
five,series,4.424901136788982
focus,center,5.585771469853622
food,eat,5.681448341483483
football,soccer,5.940895587914135
forest,woodland,5.998412412555789
fuck,girl,4.990348019282078
furnace,stove,6.503439850962717
gem,jewel,5.574438951168657
glass,wine,4.925955971228695
governor,secretary,5.104741990381262
holy,kind,4.235235348035019
hospital,hotel,6.555904651411892
image,entity,4.76004321033119
investigation,interview,5.043673732580145
jaguar,tiger,5.7320770994414065
journal,article,5.414950450520396
journey,voyage,6.5315852795689455
king,queen,5.9060153023969075
lad,car,5.021330695494248
life,live,6.9390174756927685
line,series,5.701117283846106
liquid,water,5.715687194363532
listing,activity,5.191763616798606
lobster,lad,4.101737818580568
magician,wizard,5.6745218611206205
man,woman,7.075252418020826
marathon,kilometer,4.294670748218427
media,information,4.849855936041046
midday,noon,5.888237639222885
mile,month,5.494572226713325
ministry,secretary,4.652765721911459
minority,racism,4.055212015736806
money,cash,6.238794111100257
monk,rabbi,4.428632996795728
month,year,6.469808153754344
morality,culture,4.24378239072453
murder,manslaughter,7.756935476037658
museum,theater,4.417124376988822
music,jazz,4.96880882981836
noon,moon,5.000445954300687
observation,object,5.2960921463297055
opera,theater,5.4085448539746
peace,confidence,4.589399037672509
phone,car,5.057454969995259
physics,science,5.852548733751419
plane,flight,5.6934622743691135
planet,forest,4.948178037060848
population,production,5.7218054276552985
possibility,recommendation,4.539576834931181
practice,performance,5.729327065854416
precedent,antecedent,8.12289076469023
prejudice,racism,5.325281853204576
president,governor,5.841385007893974
problem,issue,6.778382275057644
production,performance,6.269888815422606
professor,doctor,4.693059366133891
profit,gain,6.158066756722828
psychology,psychiatry,6.388172731295619
reason,issue,4.839621088253011
report,warning,4.638349340750329
rock,music,4.832429433842168
rooster,rook,5.381920132545939
school,student,6.499399463339049
seafood,lobster,5.279688843552766
seven,series,4.480513256416627
shore,surface,5.491510896306185
shower,thunderstorm,4.673118465100624
sign,term,4.895239212122965
situation,issue,5.545271362618678
skin,surface,5.460696168328529
smart,stupid,4.242247209856131
space,center,5.663663315686902
start,center,5.5202645098048775
stock,collection,4.583223008020148
street,avenue,5.052364517176491
student,slave,5.060716095691271
sugar,butter,4.793891510390856
television,theater,4.858679814103608
theater,tournament,4.09539038367427
tiger,jaguar,5.731954420585341
train,equipment,5.221452192742804
travel,flight,5.838223678611342
type,entity,5.850896720546657
viewer,landscape,4.790623487068521
vodka,wine,4.3019136006177
volunteer,nurse,4.342934170976155
wood,woodland,5.538633942410306
word,term,4.6979667554270055
