Input_Text,Algorithm_Match_Embedding,Similarity_Score,Algorithm_Match_Hybrid,Reasoning
Arafat,rabbi,4.001459220989995,hill,Mount Arafat is a significant elevated location.
Harvard,Yale,6.512131144984314,Yale,Similar prestigious American university as Harvard.
Japanese,yen,4.710277437838207,yen,Official Japanese currency used in economic transactions.
Mars,moon,3.9658099327672343,star,Both are celestial objects in the universe.
Mexico,Brazil,4.613502370183566,nation,Mexico is a sovereign country.
Wednesday,month,4.9004692683377655,entity,Wednesday represents a day of the week.
aluminum,metal,5.003240435910829,metal,Aluminum is a type of metal.
announcement,warning,5.562305411762597,news,"Shares public information, similar to an announcement."
architecture,landscape,5.507807568641596,infrastructure,Related to building structures and physical systems.
asylum,isolation,4.875179299303667,madhouse,"A place for mental patients, similar to asylum."
atmosphere,culture,3.8534635551512935,culture,Represents the prevailing atmosphere or environment.
attempt,effort,5.598145569695515,effort,Similar meaning to 'attempt'.
benchmark,index,4.861079075286366,example,Provides a standard against which to compare
bird,animal,6.164617471677127,crane,A specific type of bird similar to 'bird'.
bishop,doctor,4.556126916814398,rook,Similar chess piece.
board,car,5.633510258578873,match,Relates to board games and competitions.
boy,girl,6.948076817433012,lad,A direct synonym and closely related term.
bread,food,5.521655647783648,cash,slang for money similar to 'bread'.
calculation,computation,6.615020544398526,computation,"Similar to calculation, performing mathematical operations."
car,automobile,5.562367369910138,automobile,Synonymous term for car.
cell,entity,5.053249787553162,phone,Short form for 'cell phone'.
cemetery,graveyard,7.504309972755644,graveyard,Synonymous place for burial and remembrance.
century,year,4.281023071227105,year,Represents a unit of time related to century.
championship,tournament,4.811420487949961,tournament,Synonymous with competition or championship events.
chance,confidence,4.47020853253502,match,Relates to probability or possible outcomes.
chord,music,4.318606487296464,music,A harmonic element in musical compositions.
coast,shore,4.922564397893425,shore,Area where land meets the sea.
computer,phone,4.9218023481726725,computation,Essential function related to computer operations.
consumer,woman,5.4219111469313,payment,Involved in consumer transactions.
crane,car,4.033967049254149,fauna,"Crane is a type of bird, part of fauna."
cucumber,cabbage,5.925077499847218,fruit,Cucumber is classified as a type of fruit.
cup,cock,6.587776055805273,tableware,Cup is a type of tableware.
delay,block,5.3813594793365525,project,"Common phrase ""project delay""."
deployment,operation,6.0240455844732175,operation,Closely related to the act of deploying resources.
development,production,6.098410664836407,project,Closely related to development activities.
direction,center,4.683207320262479,avenue,A type of street signifying direction.
dividend,dollar,4.1686282299447655,cash,Financial distribution paid to shareholders.
doctor,nurse,4.924696579382616,nurse,Nurses work closely with doctors in healthcare settings.
dollar,currency,5.240526149936713,buck,Informal synonym commonly used for dollar.
drink,wine,5.61385691979919,Wine,A type of alcoholic beverage similar to drink.
energy,water,4.977523234291815,sun,Primary natural source of energy.
experience,performance,5.821227187742179,life,Life encompasses personal experiences and events.
five,series,4.424901136788982,dollar,Five relates to the dollar currency.
focus,center,5.585771469853622,center,Central point of attention or activity.
food,eat,5.681448341483483,fruit,A type of food item.
