Input_Text,GPT_Match,Match_Rank
Arafat,,0
Harvard,,0
Japanese,,0
Mars,,0
Mexico,,0
Wednesday,,0
aluminum,,0
announcement,,0
architecture,,0
asylum,,0
atmosphere,,0
attempt,,0
benchmark,,0
bird,,0
bishop,,0
board,,0
boy,,0
bread,,0
calculation,,0
car,,0
cell,,0
cemetery,,0
century,,0
championship,,0
chance,,0
chord,,0
coast,,0
computer,,0
consumer,,0
crane,,0
cucumber,,0
cup,,0
delay,,0
deployment,,0
development,,0
direction,,0
dividend,,0
doctor,,0
dollar,,0
drink,,0
energy,,0
experience,,0
five,,0
focus,,0
food,,0
football,,0
forest,,0
fuck,,0
furnace,,0
gem,,0
glass,,0
governor,,0
holy,,0
hospital,,0
image,,0
investigation,,0
jaguar,,0
journal,,0
journey,,0
king,,0
lad,,0
life,,0
line,,0
liquid,,0
listing,,0
lobster,,0
magician,,0
man,,0
marathon,,0
media,,0
midday,,0
mile,,0
ministry,,0
minority,,0
money,,0
monk,,0
month,,0
morality,,0
murder,,0
museum,,0
music,,0
noon,,0
observation,,0
opera,,0
peace,,0
phone,,0
physics,,0
plane,,0
planet,,0
population,,0
possibility,,0
practice,,0
precedent,,0
prejudice,,0
president,,0
problem,,0
production,,0
professor,,0
profit,,0
psychology,,0
reason,,0
report,,0
rock,,0
rooster,,0
school,,0
seafood,,0
seven,,0
shore,,0
shower,,0
sign,,0
situation,,0
skin,,0
smart,,0
space,,0
start,,0
stock,,0
street,,0
student,,0
sugar,,0
television,,0
theater,,0
tiger,,0
train,,0
travel,,0
type,,0
viewer,,0
vodka,,0
volunteer,,0
wood,,0
word,,0
